service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
AN_20-TR10,1,1,1,1,1,1,1,20171125,20180707
DJF-TR10,0,0,0,0,0,0,1,20171125,20180701
E2_20-TR10,0,0,0,0,0,1,1,20171125,20180707
PVS17-TR10,0,0,0,0,0,0,0,20171125,20180902
PVS17-TR10$SCOL17-TR10,0,0,0,0,0,0,0,20171125,20180924
SCO_20-TR10,1,1,1,1,1,1,1,20171125,20180707
SCOL17-TR10,1,1,1,1,1,1,1,20171125,20180924
VAC_20-TR10,0,0,0,0,0,0,0,20171125,20180506
DJF-TR17,0,0,0,0,0,0,1,20171119,20180701
SCO17-TR17,1,1,1,1,1,1,1,20171119,20180707
SCO17-TR17$VAC17-TR17,1,1,1,1,1,1,1,20171119,20180707
TRAM17-TR17,1,1,1,1,1,1,1,20171119,20180707
VAC17-TR17,0,0,0,0,0,0,0,20171119,20180506
