service_id,date,exception_type
AN_20-TR10,20171225,2
AN_20-TR10,20180101,2
AN_20-TR10,20180501,2
DJF-TR10,20171225,1
DJF-TR10,20180101,1
DJF-TR10,20180402,1
DJF-TR10,20180508,1
DJF-TR10,20180510,1
DJF-TR10,20180521,1
E2_20-TR10,20171225,1
E2_20-TR10,20180101,1
E2_20-TR10,20180402,1
E2_20-TR10,20180508,1
E2_20-TR10,20180510,1
E2_20-TR10,20180521,1
PVS17-TR10,20171226,1
PVS17-TR10,20171227,1
PVS17-TR10,20171228,1
PVS17-TR10,20171229,1
PVS17-TR10,20171230,1
PVS17-TR10,20171231,1
PVS17-TR10,20180102,1
PVS17-TR10,20180103,1
PVS17-TR10,20180104,1
PVS17-TR10,20180105,1
PVS17-TR10,20180106,1
PVS17-TR10,20180107,1
PVS17-TR10,20180226,1
PVS17-TR10,20180227,1
PVS17-TR10,20180228,1
PVS17-TR10,20180301,1
PVS17-TR10,20180302,1
PVS17-TR10,20180303,1
PVS17-TR10,20180304,1
PVS17-TR10,20180305,1
PVS17-TR10,20180306,1
PVS17-TR10,20180307,1
PVS17-TR10,20180308,1
PVS17-TR10,20180309,1
PVS17-TR10,20180310,1
PVS17-TR10,20180311,1
PVS17-TR10,20180423,1
PVS17-TR10,20180424,1
PVS17-TR10,20180425,1
PVS17-TR10,20180426,1
PVS17-TR10,20180427,1
PVS17-TR10,20180428,1
PVS17-TR10,20180429,1
PVS17-TR10,20180430,1
PVS17-TR10,20180502,1
PVS17-TR10,20180503,1
PVS17-TR10,20180504,1
PVS17-TR10,20180505,1
PVS17-TR10,20180506,1
PVS17-TR10,20180827,1
PVS17-TR10,20180828,1
PVS17-TR10,20180829,1
PVS17-TR10,20180830,1
PVS17-TR10,20180831,1
PVS17-TR10,20180901,1
PVS17-TR10,20180902,1
PVS17-TR10$SCOL17-TR10,20171125,1
PVS17-TR10$SCOL17-TR10,20171126,1
PVS17-TR10$SCOL17-TR10,20171127,1
PVS17-TR10$SCOL17-TR10,20171128,1
PVS17-TR10$SCOL17-TR10,20171129,1
PVS17-TR10$SCOL17-TR10,20171130,1
PVS17-TR10$SCOL17-TR10,20171201,1
PVS17-TR10$SCOL17-TR10,20171202,1
PVS17-TR10$SCOL17-TR10,20171203,1
PVS17-TR10$SCOL17-TR10,20171204,1
PVS17-TR10$SCOL17-TR10,20171205,1
PVS17-TR10$SCOL17-TR10,20171206,1
PVS17-TR10$SCOL17-TR10,20171207,1
PVS17-TR10$SCOL17-TR10,20171208,1
PVS17-TR10$SCOL17-TR10,20171209,1
PVS17-TR10$SCOL17-TR10,20171210,1
PVS17-TR10$SCOL17-TR10,20171211,1
PVS17-TR10$SCOL17-TR10,20171212,1
PVS17-TR10$SCOL17-TR10,20171213,1
PVS17-TR10$SCOL17-TR10,20171214,1
PVS17-TR10$SCOL17-TR10,20171215,1
PVS17-TR10$SCOL17-TR10,20171216,1
PVS17-TR10$SCOL17-TR10,20171217,1
PVS17-TR10$SCOL17-TR10,20171218,1
PVS17-TR10$SCOL17-TR10,20171219,1
PVS17-TR10$SCOL17-TR10,20171220,1
PVS17-TR10$SCOL17-TR10,20171221,1
PVS17-TR10$SCOL17-TR10,20171222,1
PVS17-TR10$SCOL17-TR10,20171223,1
PVS17-TR10$SCOL17-TR10,20171224,1
PVS17-TR10$SCOL17-TR10,20171226,1
PVS17-TR10$SCOL17-TR10,20171227,1
PVS17-TR10$SCOL17-TR10,20171228,1
PVS17-TR10$SCOL17-TR10,20171229,1
PVS17-TR10$SCOL17-TR10,20171230,1
PVS17-TR10$SCOL17-TR10,20171231,1
PVS17-TR10$SCOL17-TR10,20180102,1
PVS17-TR10$SCOL17-TR10,20180103,1
PVS17-TR10$SCOL17-TR10,20180104,1
PVS17-TR10$SCOL17-TR10,20180105,1
PVS17-TR10$SCOL17-TR10,20180106,1
PVS17-TR10$SCOL17-TR10,20180107,1
PVS17-TR10$SCOL17-TR10,20180108,1
PVS17-TR10$SCOL17-TR10,20180109,1
PVS17-TR10$SCOL17-TR10,20180110,1
PVS17-TR10$SCOL17-TR10,20180111,1
PVS17-TR10$SCOL17-TR10,20180112,1
PVS17-TR10$SCOL17-TR10,20180113,1
PVS17-TR10$SCOL17-TR10,20180114,1
PVS17-TR10$SCOL17-TR10,20180115,1
PVS17-TR10$SCOL17-TR10,20180116,1
PVS17-TR10$SCOL17-TR10,20180117,1
PVS17-TR10$SCOL17-TR10,20180118,1
PVS17-TR10$SCOL17-TR10,20180119,1
PVS17-TR10$SCOL17-TR10,20180120,1
PVS17-TR10$SCOL17-TR10,20180121,1
PVS17-TR10$SCOL17-TR10,20180122,1
PVS17-TR10$SCOL17-TR10,20180123,1
PVS17-TR10$SCOL17-TR10,20180124,1
PVS17-TR10$SCOL17-TR10,20180125,1
PVS17-TR10$SCOL17-TR10,20180126,1
PVS17-TR10$SCOL17-TR10,20180127,1
PVS17-TR10$SCOL17-TR10,20180128,1
PVS17-TR10$SCOL17-TR10,20180129,1
PVS17-TR10$SCOL17-TR10,20180130,1
PVS17-TR10$SCOL17-TR10,20180131,1
PVS17-TR10$SCOL17-TR10,20180201,1
PVS17-TR10$SCOL17-TR10,20180202,1
PVS17-TR10$SCOL17-TR10,20180203,1
PVS17-TR10$SCOL17-TR10,20180204,1
PVS17-TR10$SCOL17-TR10,20180205,1
PVS17-TR10$SCOL17-TR10,20180206,1
PVS17-TR10$SCOL17-TR10,20180207,1
PVS17-TR10$SCOL17-TR10,20180208,1
PVS17-TR10$SCOL17-TR10,20180209,1
PVS17-TR10$SCOL17-TR10,20180210,1
PVS17-TR10$SCOL17-TR10,20180211,1
PVS17-TR10$SCOL17-TR10,20180212,1
PVS17-TR10$SCOL17-TR10,20180213,1
PVS17-TR10$SCOL17-TR10,20180214,1
PVS17-TR10$SCOL17-TR10,20180215,1
PVS17-TR10$SCOL17-TR10,20180216,1
PVS17-TR10$SCOL17-TR10,20180217,1
PVS17-TR10$SCOL17-TR10,20180218,1
PVS17-TR10$SCOL17-TR10,20180219,1
PVS17-TR10$SCOL17-TR10,20180220,1
PVS17-TR10$SCOL17-TR10,20180221,1
PVS17-TR10$SCOL17-TR10,20180222,1
PVS17-TR10$SCOL17-TR10,20180223,1
PVS17-TR10$SCOL17-TR10,20180224,1
PVS17-TR10$SCOL17-TR10,20180225,1
PVS17-TR10$SCOL17-TR10,20180226,1
PVS17-TR10$SCOL17-TR10,20180227,1
PVS17-TR10$SCOL17-TR10,20180228,1
PVS17-TR10$SCOL17-TR10,20180301,1
PVS17-TR10$SCOL17-TR10,20180302,1
PVS17-TR10$SCOL17-TR10,20180303,1
PVS17-TR10$SCOL17-TR10,20180304,1
PVS17-TR10$SCOL17-TR10,20180305,1
PVS17-TR10$SCOL17-TR10,20180306,1
PVS17-TR10$SCOL17-TR10,20180307,1
PVS17-TR10$SCOL17-TR10,20180308,1
PVS17-TR10$SCOL17-TR10,20180309,1
