stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type
500000,10205,"Gare SNCF",43.6845562395,4.6310717931,0
500001,10208,"Lamartine",43.681351315,4.6323592566,0
500002,10209,"Lamartine",43.6814261411,4.6325411554,0
500003,10211,"Emile Combes",43.6759051915,4.6327928422,0
500004,10212,"Emile Combes",43.6759033541,4.632879493,0
500005,10234,"Lycée Montmajour",43.6970248797,4.6418348249,0
500006,10235,"Lycée Montmajour",43.6968950999,4.6415948699,0
500007,14108,"Gabriel Péri",43.6736472025,4.625298131,0
500008,14361,"Collège Morel",43.683933867,4.613265739,0
500009,14362,"Collège Van Gogh",43.679128373,4.6363669984,0
500010,14555,"Gabriel Péri",43.673560437,4.6252551611,0
500011,12308,"Les Razeteurs",43.4530148743,4.4280962237,0
500012,12309,"Les Razeteurs",43.4530915266,4.4279100648,0
500013,12310,"La Brise",43.4541091294,4.4334371586,0
500014,12312,"Pont Blanc",43.45704445,4.4267146694,0
500015,12313,"Pont Blanc",43.4568735928,4.4266590688,0
500016,12314,"Le Boumian",43.4679847175,4.4161609218,0
500017,12315,"Le Boumian",43.4677301679,4.4161910195,0
500018,12316,"Maguelonne",43.4816337776,4.405116962,0
500019,12317,"Maguelonne",43.4812888715,4.4047603486,0
500020,12318,"Pont de Gau",43.4898392239,4.4031978571,0
500021,12319,"Pont de Gau",43.4893683252,4.4036107129,0
500022,12320,"Taxil",43.5039874121,4.4009762259,0
500023,12321,"Taxil",43.5036249255,4.4008326902,0
500024,12323,"Auberge Jeunesse",43.5247636454,4.4011786157,0
500025,12324,"Auberge Jeunesse",43.5246560705,4.4011623771,0
500026,12325,"Pioch Badet",43.5223908947,4.4020813697,0
500027,12328,"Sénébier",43.5458844718,4.3662440566,0
500028,13740,"Les Massoucles",43.4559156578,4.4287721673,0
500029,13741,"Les Massoucles",43.4559383642,4.4289920456,0
500030,14111,"Cabane de Cambon",43.5205478478,4.3751066152,0
500031,14113,"Mas du Tadorne",43.4696396786,4.4140778701,0
500032,14114,"Mas du Tadorne",43.4697165109,4.4142897294,0
500033,14357,"Groupe Scolaire",43.4538267311,4.4322976771,0
500034,14554,"Mas Astouin",43.5303988427,4.3675989471,0
500035,12326,"Château d'Avignon",43.5556934368,4.413668925,0
500036,12327,"Château d'Avignon",43.5556170591,4.413023314,0
