route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,block_id,wheelchair_accessible,bikes_allowed
24,SCO_20-TR10,9163976,Arles,0,,,,
24,SCO_20-TR10,9163977,Arles,0,,,,
24,E2_20-TR10,9163978,Arles,0,,,,
4,PVS17-TR10,9163979,Clémenceau,1,,,,
1,DJF-TR10,9163980,Barriol,1,,,,
1,DJF-TR10,9163981,Barriol,1,,,,
1,DJF-TR10,9163982,Barriol,1,,,,
1,DJF-TR10,9163983,Barriol,1,,,,
1,DJF-TR10,9163984,Barriol,1,,,,
1,DJF-TR10,9163985,Barriol,1,,,,
1,SCOL17-TR10,9163986,Barriol,1,,,,
1,SCOL17-TR10,9163987,Barriol,1,,,,
1,PVS17-TR10,9163988,Barriol,1,,,,
1,PVS17-TR10,9163989,Barriol,1,,,,
4,PVS17-TR10,9163990,Clémenceau,1,,,,
228,SCOL17-TR10,9163991,Rdp Mediterrannée,0,,,,
228,SCOL17-TR10,9163992,Rdp Mediterrannée,0,,,,
228,SCOL17-TR10,9163993,Arles - Gare SNCF,1,,,,
228,SCOL17-TR10,9163994,Arles - Gare SNCF,1,,,,
228,SCOL17-TR10,9163995,Gare SNCF,1,,,,
228,SCOL17-TR10,9163996,Gare SNCF,1,,,,
105,PVS17-TR10,9163997,Musée Antique,0,,,,
105,SCOL17-TR10,9163998,Musée Antique,0,,,,
105,SCOL17-TR10,9163999,Musée Antique,0,,,,
105,SCOL17-TR10,9164000,Musée Antique,0,,,,
4,SCOL17-TR10,9164001,Clémenceau,1,,,,
105,SCOL17-TR10,9164002,Musée Antique,0,,,,
105,PVS17-TR10,9164003,Musée Antique,0,,,,
105,PVS17-TR10,9164004,Musée Antique,0,,,,
105,PVS17-TR10,9164005,Musée Antique,0,,,,
105,PVS17-TR10,9164006,Musée Antique,0,,,,
105,SCOL17-TR10,9164007,Musée Antique,0,,,,
105,SCOL17-TR10,9164008,Musée Antique,0,,,,
105,SCOL17-TR10,9164009,Musée Antique,0,,,,
105,SCOL17-TR10,9164010,Musée Antique,0,,,,
105,SCOL17-TR10,9164011,Musée Antique,0,,,,
4,SCOL17-TR10,9164012,Clémenceau,1,,,,
105,PVS17-TR10,9164013,Musée Antique,0,,,,
105,PVS17-TR10,9164014,Musée Antique,0,,,,
105,PVS17-TR10,9164015,Musée Antique,0,,,,
105,SCOL17-TR10,9164016,Musée Antique,0,,,,
105,SCOL17-TR10,9164017,Musée Antique,0,,,,
105,PVS17-TR10,9164018,Musée Antique,0,,,,
105,SCOL17-TR10,9164019,Musée Antique,0,,,,
105,SCOL17-TR10,9164020,Musée Antique,0,,,,
105,SCOL17-TR10,9164021,Musée Antique,0,,,,
105,SCOL17-TR10,9164022,Musée Antique,0,,,,
4,PVS17-TR10,9164023,Clémenceau,1,,,,
105,SCOL17-TR10,9164024,Musée Antique,0,,,,
105,SCOL17-TR10,9164025,Musée Antique,0,,,,
105,PVS17-TR10,9164026,Musée Antique,0,,,,
105,SCOL17-TR10,9164027,Musée Antique,0,,,,
105,PVS17-TR10,9164028,Musée Antique,0,,,,
105,PVS17-TR10,9164029,Musée Antique,0,,,,
105,PVS17-TR10,9164030,Musée Antique,0,,,,
105,PVS17-TR10,9164031,Musée Antique,0,,,,
105,SCOL17-TR10,9164032,Musée Antique,0,,,,
105,PVS17-TR10,9164033,Musée Antique,0,,,,
4,PVS17-TR10,9164034,Clémenceau,1,,,,
105,PVS17-TR10,9164035,Musée Antique,0,,,,
105,PVS17-TR10,9164036,Musée Antique,0,,,,
