route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
L91E,TRA,L91E,HALLUIN - LILLE,,3,,009EE0,FFFFFF
87,TRA,87,LINSELLES CIMETIERE - TOURCOING CENTRE,,3,,FFD500,000000
84,TRA,84,COMINES GLYCINES - TOURCOING CENTRE,,3,,93107E,FFFFFF
13,TRA,13,MONT DE TERRE <> V.D'ASCQ HÔTEL DE VILLE,,3,,E64F93,FFFFFF
57,TRA,57,FORT DE MONS <> LESQUIN VERDUN,,3,,A589BA,FFFFFF
Z1,TRA,Z1,TOURCOING GARE - NEUVILLE RECKEM,,3,,79B51C,FFFFFF
16,TRA,16,HEM LA VALLEE <> TOUFFLERS  DOUANE,,3,,F29400,FFFFFF
30,TRA,30,FOREST / HEM <> TOURCOING CENTRE,,3,,006AB3,FFFFFF
33,TRA,33,LEERS EGLISE <> TOURCOING EINSTEIN,,3,,79B51C,FFFFFF
904,TRA,904,MOUVAUX - MARCQ COLLEGE,,3,,C8C8C8,000000
905,TRA,905,MOUVAUX - MARCQ COLLEGE,,3,,C8C8C8,000000
908,TRA,908,WAMBRECHIES CHATEAU - COLLEGE DEBEYRE,,3,,C8C8C8,000000
911,TRA,911,HEM - ST ADRIEN,,3,,C8C8C8,000000
913,TRA,913,EMMERIN - JULES FERRY,,3,,C8C8C8,000000
915,TRA,915,LOMME DELIVRANCE - BEAUPRE,,3,,C8C8C8,000000
918,TRA,918,FACHES - CHARLEMAGNE,,3,,C8C8C8,000000
920,TRA,920,WATTIGNIES - CHARLEMAGNE,,3,,C8C8C8,000000
922,TRA,922,COLLÈGE MOLIÈRE,,3,,C8C8C8,000000
925,TRA,925,VALENTINE L'ABBE,,3,,C8C8C8,000000
927,TRA,927,HOUPLIN ANCOISNE - VOLTAIRE,,3,,C8C8C8,000000
928,TRA,928,SALOMÉ - BEAUCAMPS LIGNY,,3,,C8C8C8,000000
931,TRA,931,CHR B CALMETTE - LP BOILLY,,3,,C8C8C8,000000
933,TRA,933,LA BASSÉE - BEAUCAMPS,,3,,C8C8C8,000000
940,TRA,940,COMINES - CROIX BLANCHE,,3,,C8C8C8,000000
941,TRA,941,BOUSBEQUES - HALLUIN COLBRAS,,3,,C8C8C8,000000
942,TRA,942,BOUBECQUES - MATISSE,,3,,C8C8C8,000000
943,TRA,943,LINSELLES - PH DE COMMYNES,,3,,C8C8C8,000000
945,TRA,945,TOUFFLERS/LANNOY - ST JOSEPH,,3,,C8C8C8,000000
59,TRA,59,PONT DE BOIS <> V. D'ASCQ CONTRESCARPE,,3,,79B51C,FFFFFF
66,TRA,66,4 CANTONS - LEERS/SAINGHIN EN MÉLANTOIS,,3,,009DE0,FFFFFF
75,TRA,75,WAASTEN / WARNETON / LOMME ST PHILIBERT,,3,,009DDF,FFFFFF
82,TRA,82,WERVIK B./WERVICQ F./ARMENTIERES ROSTAND,,3,,535546,FFFFFF
