service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
8,1,1,1,1,1,1,1,20171002,20171209
152,1,1,1,1,1,0,0,20171002,20171208
14,1,1,1,1,1,0,0,20171002,20171208
700,0,0,0,0,0,0,1,20171003,20171101
692,1,1,1,1,1,1,1,20171030,20171209
46,1,1,1,1,1,1,0,20171002,20171209
15,0,0,0,0,0,1,0,20171007,20171209
60,1,1,1,1,1,0,1,20171002,20171208
205,1,1,1,1,1,1,0,20171002,20171209
693,1,1,1,1,1,1,1,20171003,20171209
440,0,0,0,0,0,1,1,20171104,20171209
694,1,1,1,1,1,1,1,20171003,20171209
696,1,1,1,1,1,0,0,20171002,20171208
75,0,0,0,0,0,1,1,20171007,20171029
699,1,1,1,1,1,1,1,20171030,20171209
698,1,1,1,1,1,1,1,20171030,20171209
697,1,1,1,1,1,0,0,20171009,20171208
154,0,0,0,0,0,1,1,20171003,20171209
36,0,0,0,0,0,1,1,20171007,20171209
695,1,1,1,1,1,0,0,20171003,20171208
1883,1,1,1,1,1,1,0,20171002,20171230
1882,1,1,1,1,1,0,0,20171002,20171229
146,1,1,1,1,1,0,0,20171002,20171208
1881,1,1,1,1,1,0,0,20171211,20171229
2027,1,1,1,1,1,1,1,20171002,20171231
2022,0,0,0,0,0,1,1,20171007,20171231
2002,1,1,1,1,1,1,1,20171002,20171231
2008,0,0,0,0,0,1,0,20171007,20171230
1886,0,0,0,0,0,0,1,20171210,20171231
942,0,0,0,0,1,0,0,20171215,20171229
1960,1,1,1,1,1,1,0,20171211,20171230
1892,0,0,0,0,0,1,1,20171210,20171231
872,0,0,0,0,0,1,0,20171216,20171230
898,1,1,1,1,1,0,0,20171211,20171229
920,1,1,1,1,1,1,1,20171210,20171231
10688,1,1,1,1,1,1,0,20171211,20171230
2570,1,1,1,1,1,0,0,20171211,20171229
2795,1,1,1,1,1,0,0,20171211,20171229
2764,0,1,1,1,1,1,0,20171003,20171209
7677,0,0,0,0,0,0,1,20171210,20171217
7675,1,0,0,0,0,0,0,20171211,20171226
14599,0,0,0,0,0,1,1,20171210,20171231
14600,0,0,0,0,0,1,1,20171210,20171231
14601,1,1,1,1,1,0,0,20171211,20171229
14602,0,0,0,0,0,1,0,20171216,20171230
14603,0,0,0,0,0,1,0,20171216,20171230
14604,0,0,0,0,0,0,1,20171210,20171231
14605,0,0,0,0,0,1,1,20171210,20171231
14606,0,0,0,0,0,0,1,20171210,20171231
14607,0,0,0,0,0,1,0,20171216,20171230
14608,1,1,1,1,1,0,0,20171211,20171229
14609,0,0,0,0,0,1,0,20171216,20171230
14610,1,1,1,1,1,0,0,20171211,20171229
14611,1,1,1,1,1,0,0,20171211,20171229
14612,1,1,1,1,1,0,0,20171211,20171229
14613,0,0,0,0,0,1,1,20171210,20171231
14614,0,0,0,0,0,1,0,20171216,20171230
14615,0,0,0,0,0,1,1,20171210,20171231
14616,0,0,0,0,0,1,1,20171210,20171231
14617,0,0,0,0,0,1,1,20171210,20171231
14618,0,0,0,0,0,1,1,20171210,20171231
14619,0,0,0,0,0,0,1,20171210,20171231
14620,0,0,0,0,0,1,0,20171216,20171230
14621,1,1,1,1,1,0,0,20171211,20171229
11197,1,1,1,1,1,1,0,20171211,20171230
7865,1,1,1,1,1,1,1,20171210,20171231
11196,1,1,1,1,1,1,1,20171210,20171231
11193,1,1,1,1,1,0,0,20171211,20171229
1840,0,0,0,0,1,0,1,20171210,20171231
6078,0,0,0,0,1,0,0,20171222,20171229
14622,0,0,0,0,1,0,0,20171215,20171229
14623,0,0,0,0,0,1,0,20171216,20171230
14624,1,0,0,0,0,0,0,20171211,20171226
14625,1,1,1,1,1,0,0,20171211,20171229
2238,0,1,1,1,1,0,0,20171212,20171229
14626,1,1,1,1,0,1,0,20171211,20171230
14627,0,0,0,0,0,0,1,20171210,20171231
14628,1,1,1,1,1,0,0,20171211,20171229
14629,1,1,1,1,1,1,0,20171211,20171230
14630,1,1,1,1,1,0,1,20171210,20171231
14631,0,0,0,0,0,0,1,20171210,20171231
14632,1,1,1,1,1,0,0,20171211,20171229
1020,1,1,1,1,1,0,1,20171210,20171231
14633,1,1,1,1,1,0,0,20171211,20171229
14634,0,0,0,0,0,1,0,20171216,20171230
14635,1,1,1,1,1,0,0,20171211,20171229
1931,0,0,0,0,0,0,1,20171210,20171217
11576,1,1,1,1,1,1,1,20171210,20171231
11578,1,1,1,1,0,1,0,20171211,20171221
11553,1,1,1,1,1,1,1,20171210,20171231
11580,1,1,1,1,0,1,0,20171211,20171221
7907,1,1,1,1,1,0,0,20171002,20171013
8624,1,1,1,1,1,0,1,20171210,20171231
11787,1,1,1,1,1,1,1,20171210,20171231
8629,1,1,1,1,1,1,0,20171211,20171230
2283,1,1,1,1,1,0,0,20171211,20171229
4422,0,0,0,0,0,1,0,20171216,20171230
9887,0,0,1,0,1,0,0,20171004,20171013
4425,0,0,0,0,0,0,1,20171210,20171231
6703,1,0,1,1,1,0,0,20171002,20171006
1844,1,1,1,1,0,0,0,20171211,20171228
7723,1,1,1,1,1,1,1,20171210,20171231
7732,0,0,0,0,0,1,0,20171216,20171230
7744,1,1,1,1,1,0,1,20171210,20171231
7710,1,1,1,1,1,1,1,20171210,20171231
14636,0,0,0,0,0,1,1,20171210,20171231
14637,1,1,1,1,1,1,0,20171211,20171230
14638,1,1,1,1,1,1,1,20171210,20171231
14639,0,0,0,0,0,0,1,20171210,20171231
7716,1,1,1,1,1,1,0,20171211,20171230
7733,0,0,0,0,0,0,1,20171210,20171231
14640,1,1,1,1,1,0,0,20171211,20171229
7726,1,1,1,1,1,1,0,20171211,20171230
14641,1,1,1,1,1,0,0,20171211,20171229
14642,1,0,0,0,0,0,1,20171224,20171231
14643,1,1,1,1,1,1,1,20171210,20171231
7686,1,1,1,1,1,0,0,20171211,20171229
7739,1,1,1,1,1,1,1,20171211,20171231
7740,0,0,0,0,0,1,1,20171210,20171217
7714,1,1,1,1,1,1,1,20171210,20171231
7731,0,0,0,0,0,0,1,20171210,20171217
2244,0,0,0,0,1,1,1,20171210,20171231
10593,0,0,0,0,0,0,1,20171210,20171231
14644,1,1,1,1,1,0,0,20171211,20171229
3162,0,0,0,0,0,1,0,20171216,20171230
10592,0,0,0,0,0,1,0,20171216,20171230
3140,0,0,0,0,0,0,1,20171210,20171231
3238,0,0,0,0,0,1,1,20171210,20171231
10591,0,1,1,1,1,0,0,20171226,20171229
3245,1,1,1,1,1,0,0,20171211,20171229
10603,1,1,1,1,1,1,0,20171211,20171230
5580,1,0,0,0,0,0,1,20171224,20171231
904,0,0,0,0,0,0,1,20171210,20171217
14645,0,0,0,0,0,1,0,20171216,20171230
14646,0,0,0,0,0,0,1,20171210,20171231
14647,0,0,0,0,0,1,0,20171216,20171230
14648,0,0,0,0,0,1,0,20171216,20171230
10583,1,1,1,1,1,0,0,20171211,20171229
10598,1,1,1,1,1,1,1,20171210,20171231
14649,1,1,1,1,1,1,0,20171211,20171230
10584,0,0,0,0,0,0,1,20171210,20171231
14650,0,0,0,0,0,1,0,20171216,20171230
14651,1,1,1,1,1,0,0,20171211,20171229
10578,1,0,0,0,0,0,0,20171211,20171229
14652,1,1,1,1,1,0,1,20171210,20171231
10586,0,0,0,0,0,1,0,20171216,20171230
14653,0,0,0,0,0,0,1,20171210,20171231
14654,1,1,1,1,1,0,1,20171210,20171231
2234,0,0,0,0,0,0,1,20171210,20171231
10564,1,1,1,1,1,0,0,20171211,20171229
10565,0,0,0,0,0,1,1,20171210,20171231
14655,0,0,0,0,0,0,1,20171210,20171231
14656,1,1,1,1,1,0,0,20171211,20171229
14657,1,1,1,1,1,0,0,20171211,20171229
14658,0,0,0,0,0,1,0,20171216,20171230
14659,1,1,1,1,1,0,0,20171211,20171229
5298,0,0,0,0,0,1,0,20171216,20171230
14660,1,1,1,1,1,0,1,20171210,20171231
14661,1,1,1,1,1,0,1,20171210,20171231
14662,0,0,0,0,0,1,0,20171216,20171230
14663,1,1,1,1,1,0,0,20171211,20171229
14664,0,0,0,0,0,1,0,20171216,20171230
7682,0,0,0,0,0,1,0,20171223,20171230
14665,1,1,1,1,1,0,0,20171211,20171229
2675,1,1,1,1,1,0,0,20171218,20171222
14666,1,1,1,1,1,0,0,20171211,20171217
11025,1,1,1,1,1,1,0,20171211,20171230
11026,1,1,1,1,1,1,0,20171211,20171230
11088,0,0,0,0,0,1,0,20171009,20171112
7591,1,1,1,1,1,1,0,20171002,20171209
7762,1,1,1,1,1,1,1,20171210,20171231
7771,1,1,1,1,1,0,0,20171002,20171112
7770,1,1,1,1,1,0,0,20171113,20171119
6003,1,0,0,0,0,0,0,20171002,20171009
6778,1,0,0,0,0,0,0,20171016,20171204
14667,0,0,0,0,0,1,0,20171007,20171014
14668,1,1,1,1,1,0,0,20171002,20171013
2181,1,1,1,1,1,0,0,20171016,20171208
1377,1,1,1,1,1,0,0,20171002,20171013
2768,0,0,0,0,0,1,0,20171021,20171209
7679,0,0,0,0,0,0,1,20171015,20171203
3047,0,1,1,1,1,0,0,20171003,20171013
2783,0,0,0,0,0,0,1,20171030,20171203
14670,0,1,1,1,1,0,0,20171017,20171208
14671,0,0,0,0,0,1,0,20171007,20171014
635,0,0,0,0,0,1,0,20171007,20171014
2776,0,0,0,0,0,1,0,20171021,20171209
2343,0,0,0,0,1,0,0,20171006,20171013
2786,0,0,0,0,1,0,0,20171020,20171208
7674,1,0,0,0,0,0,0,20171016,20171204
7699,0,0,0,0,0,1,0,20171007,20171022
7712,0,0,0,0,0,1,1,20171007,20171022
7706,0,0,0,0,0,1,1,20171007,20171022
7717,0,0,0,0,0,0,1,20171008,20171022
1352,1,1,1,1,1,0,0,20171002,20171208
374,1,1,1,1,1,0,0,20171009,20171013
1679,1,1,1,1,1,0,0,20171002,20171006
1818,1,1,1,1,1,0,0,20171023,20171103
7715,1,1,1,1,1,0,0,20171002,20171022
1369,0,0,0,0,1,0,0,20171006,20171208
7697,1,1,1,1,1,1,0,20171113,20171209
1368,1,1,1,1,0,0,0,20171002,20171207
7742,0,0,0,0,1,0,1,20171006,20171208
7738,0,0,0,0,0,1,1,20171113,20171209
7704,1,1,1,1,1,0,0,20171002,20171022
7724,1,1,1,1,1,1,1,20171113,20171209
7709,1,1,1,1,1,1,1,20171028,20171209
7734,0,0,0,0,0,0,1,20171008,20171203
3652,1,1,1,1,1,0,0,20171016,20171020
2935,0,0,0,0,0,1,0,20171104,20171209
7718,0,0,0,0,0,0,1,20171113,20171203
2524,1,1,1,1,0,0,0,20171002,20171207
7694,0,0,0,0,0,1,0,20171028,20171209
11139,1,1,1,1,1,1,1,20171002,20171209
7702,1,1,1,1,1,0,0,20171002,20171208
14672,1,1,1,1,1,0,0,20171002,20171208
7745,1,1,1,1,1,0,1,20171002,20171029
1947,0,0,0,0,0,0,1,20171008,20171203
7713,1,1,1,1,1,1,1,20171113,20171209
7687,1,0,0,0,0,0,0,20171002,20171204
7749,0,0,0,0,0,1,0,20171028,20171209
14673,1,1,1,1,1,0,0,20171002,20171208
7725,1,1,1,1,1,0,0,20171002,20171015
7735,1,1,1,1,1,1,1,20171113,20171209
7722,1,1,1,1,1,1,1,20171113,20171209
7690,0,1,1,1,1,0,0,20171003,20171208
7729,0,0,0,0,0,0,1,20171113,20171203
7691,0,0,1,1,1,0,0,20171011,20171013
7748,0,0,0,0,0,0,1,20171113,20171126
14674,1,1,1,1,1,0,0,20171211,20171229
14675,1,1,1,1,1,0,0,20171211,20171229
14676,1,1,1,1,1,0,0,20171211,20171229
14677,1,1,1,1,1,1,1,20171210,20171231
11128,1,1,1,1,1,0,0,20171211,20171229
14678,1,1,1,1,1,0,0,20171211,20171229
14679,1,1,1,1,1,0,0,20171211,20171229
11132,1,0,0,0,0,0,1,20171210,20171231
14680,1,1,1,1,1,1,1,20171210,20171231
14681,1,1,1,1,1,0,0,20171211,20171229
14682,1,1,1,1,1,0,1,20171210,20171231
14683,1,1,1,1,1,1,1,20171210,20171231
14684,1,1,1,1,1,1,1,20171210,20171231
11104,0,0,0,0,0,1,1,20171210,20171231
14685,1,1,1,1,1,1,1,20171210,20171231
10921,1,1,1,1,1,0,0,20171211,20171229
11109,1,0,0,0,0,1,1,20171223,20171231
11106,1,1,1,1,1,1,0,20171211,20171230
14687,1,1,1,1,1,1,0,20171211,20171230
14688,1,1,1,1,1,1,0,20171211,20171230
14689,1,1,1,1,1,1,1,20171210,20171231
11120,1,1,1,1,1,0,1,20171211,20171231
11093,1,1,1,1,1,0,0,20171211,20171229
14690,1,1,1,1,1,0,0,20171211,20171229
11115,0,0,0,0,0,1,1,20171210,20171217
