route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
OCEDB-80194035-87213470,8,OCEDB018807F030014804,"18807",1,,
OCEDB-80194035-87213470,152,OCEDB018805F040014803,"18805",1,,
OCEDB-80194035-87213470,287,OCEDB018813F010024810,"18813",1,,
OCEDB-80194035-87213470,14,OCEDB018811F030014808,"18811",1,,
OCEDB-80194035-87213470,700,OCEDB018895F010014881,"18895",1,,
OCEDB-80194035-87213470,700,OCEDB018899F020014885,"18899",1,,
OCEDB-80194035-87213470,700,OCEDB018897F020014883,"18897",1,,
OCEDB-80194035-87213470,8,OCEDB018809F030014806,"18809",1,,
OCEDB-80194035-87213470,692,OCEDB018815F030014812,"18815",1,,
OCEDB-80194035-87213470,8,OCEDB018837F030014830,"18837",1,,
OCEDB-80194035-87213470,8,OCEDB018823F030014818,"18823",1,,
OCEDB-80194035-87213470,8,OCEDB018825F030014820,"18825",1,,
OCEDB-80194035-87213470,700,OCEDB018893F030014879,"18893",1,,
OCEDB-80194035-87213470,46,OCEDB018841F020014833,"18841",1,,
OCEDB-80194035-87213470,692,OCEDB018827F030014822,"18827",1,,
OCEDB-80194035-87213470,692,OCEDB018831F030014825,"18831",1,,
OCEDB-80194035-87213470,692,OCEDB018817F010014814,"18817",1,,
OCEDB-80194035-87213470,8,OCEDB018819F030014815,"18819",1,,
OCEDB-80194035-87213470,8,OCEDB018835F030014828,"18835",1,,
OCEDB-80194035-87213470,15,OCEDB018810F030014807,"18810",0,,
OCEDB-80194035-87213470,60,OCEDB018842F030014834,"18842",0,,
OCEDB-80194035-87213470,700,OCEDB018898F020014884,"18898",0,,
OCEDB-80194035-87213470,692,OCEDB018832F030014826,"18832",0,,
OCEDB-80194035-87213470,692,OCEDB018834F030014827,"18834",0,,
OCEDB-80194035-87213470,14,OCEDB018836F030014829,"18836",0,,
OCEDB-80194035-87213470,60,OCEDB018808F030014805,"18808",0,,
OCEDB-80194035-87213470,8,OCEDB018840F030014832,"18840",0,,
OCEDB-80194035-87213470,288,OCEDB018838F010024831,"18838",0,,
OCEDB-80194035-87213470,700,OCEDB018892F010014878,"18892",0,,
OCEDB-80194035-87213470,8,OCEDB018830F030014824,"18830",0,,
OCEDB-80194035-87213470,700,OCEDB018894F010014880,"18894",0,,
OCEDB-80194035-87213470,8,OCEDB018824F030014819,"18824",0,,
OCEDB-80194035-87213470,152,OCEDB018800F030014797,"18800",0,,
OCEDB-80194035-87213470,8,OCEDB018812F030014809,"18812",0,,
OCEDB-80194035-87213470,692,OCEDB018816F030024813,"18816",0,,
OCEDB-80194035-87213470,8,OCEDB018814F030014811,"18814",0,,
OCEDB-80194035-87213470,692,OCEDB018820F030034816,"18820",0,,
OCEDB-80194035-87213470,700,OCEDB018896F010014882,"18896",0,,
OCEDB-80194035-87213470,152,OCEDB018802F030014799,"18802",0,,
OCEDB-80194035-87213470,8,OCEDB018828F030014823,"18828",0,,
OCEDB-80194035-87213470,205,OCEDB018804F030014801,"18804",0,,
OCEDB-80194324-87213470,152,OCEDB018803F010014800,"18803",1,,
OCEDB-80194324-87213470,152,OCEDB018801F010014798,"18801",1,,
OCEDB-80194324-87213470,15,OCEDB018805F020014802,"18805",1,,
OCEDB-87212464-80191031,693,OCEDB018863F010014849,"18863",1,,
OCEDB-87212464-80191031,440,OCEDB018869F010014855,"18869",1,,
OCEDB-87212464-80191031,694,OCEDB018867F010014853,"18867",1,,
OCEDB-87212464-80191031,693,OCEDB018865F010014851,"18865",1,,
OCEDB-87212464-80191031,152,OCEDB018857F010014843,"18857",1,,
OCEDB-87212464-80191031,152,OCEDB018851F010014837,"18851",1,,
OCEDB-87212464-80191031,15,OCEDB018859F010014845,"18859",1,,
OCEDB-87212464-80191031,696,OCEDB018871F010014857,"18871",1,,
OCEDB-87212464-80191031,8,OCEDB018861F010014847,"18861",1,,
OCEDB-87212464-80191031,694,OCEDB018877F010014863,"18877",1,,
OCEDB-87212464-80191031,152,OCEDB018855F010014841,"18855",1,,
OCEDB-87212464-80191031,152,OCEDB018853F010014839,"18853",1,,
OCEDB-87212464-80191031,75,OCEDB018821F020014817,"18821",1,,
OCEDB-87212464-80191031,699,OCEDB018885F010014871,"18885",1,,
OCEDB-87212464-80191031,698,OCEDB018879F010014865,"18879",1,,
OCEDB-87212464-80191031,8,OCEDB018887F010014873,"18887",1,,
OCEDB-87212464-80191031,697,OCEDB018873F020014859,"18873",1,,
OCEDB-87212464-80191031,8,OCEDB018889F010014875,"18889",1,,
OCEDB-87212464-80191031,694,OCEDB018875F010014861,"18875",1,,
OCEDB-87212464-80191031,8,OCEDB018881F010014867,"18881",1,,
OCEDB-87212464-80191031,8,OCEDB018883F010014869,"18883",1,,
OCEDB-87212464-80191031,154,OCEDB018891F010014877,"18891",1,,
OCEDB-87212464-80191031,698,OCEDB018882F010014868,"18882",0,,
OCEDB-87212464-80191031,36,OCEDB018826F010014821,"18826",0,,
OCEDB-87212464-80191031,8,OCEDB018884F010014870,"18884",0,,
OCEDB-87212464-80191031,440,OCEDB018868F010014854,"18868",0,,
OCEDB-87212464-80191031,15,OCEDB018858F010014844,"18858",0,,
OCEDB-87212464-80191031,8,OCEDB018860F010014846,"18860",0,,
